postal_code_prefix_3,fulfillment_center,total_orders,downgraded_orders,two_day_orders,one_day_orders,other_orders,paid_shipping_orders
618,US-IL-ORD,659,602,24,33,0,4
619,US-IL-ORD,117,102,4,11,0,1
620,US-IL-ORD,355,312,16,27,0,4
622,US-IL-ORD,582,512,23,46,1,4
623,US-IL-ORD,97,81,8,8,0,1
624,US-IL-ORD,97,90,7,0,0,1
625,US-IL-ORD,150,134,10,6,0,1
626,US-IL-ORD,165,150,4,11,0,2
627,US-IL-ORD,238,210,18,10,0,0
628,US-IL-ORD,115,101,5,9,0,1
629,US-IL-ORD,192,170,6,15,1,2
630,US-IL-ORD,1198,1069,49,80,0,4
631,US-IL-ORD,1820,1605,79,136,0,15
633,US-IL-ORD,1052,927,46,79,0,7
634,US-IL-ORD,37,27,3,6,1,0
635,US-IL-ORD,36,27,7,2,0,0
636,US-IL-ORD,66,54,10,2,0,1
637,US-IL-ORD,91,77,7,7,0,3
638,US-IL-ORD,33,28,1,4,0,3
639,US-IL-ORD,36,34,0,2,0,0
640,US-IL-ORD,1046,911,55,80,0,10
641,US-IL-ORD,1565,1341,100,124,0,11
644,US-IL-ORD,83,76,3,4,0,0
645,US-IL-ORD,75,60,11,4,0,0
646,US-IL-ORD,25,20,3,2,0,1
647,US-IL-ORD,72,64,5,3,0,2
648,US-IL-ORD,212,198,6,8,0,2
650,US-IL-ORD,152,145,4,3,0,0
651,US-IL-ORD,131,116,5,10,0,2
652,US-IL-ORD,466,403,23,40,0,1
653,US-IL-ORD,87,79,5,3,0,0
654,US-IL-ORD,94,82,7,5,0,1
655,US-IL-ORD,86,78,5,3,0,0
656,US-IL-ORD,185,158,16,11,0,2
657,US-IL-ORD,319,252,35,32,0,2
658,US-IL-ORD,468,412,16,40,0,6
660,US-IL-ORD,1158,1017,63,78,0,13
661,US-IL-ORD,225,195,17,13,0,2
662,US-IL-ORD,1316,1115,95,106,0,16
664,US-IL-ORD,93,70,17,6,0,0
665,US-IL-ORD,190,174,8,8,0,0
666,US-IL-ORD,228,192,12,24,0,2
667,US-IL-ORD,90,81,5,4,0,0
668,US-IL-ORD,59,54,4,1,0,0
669,US-IL-ORD,14,13,1,0,0,0
670,US-IL-ORD,201,179,11,11,0,2
671,US-IL-ORD,134,118,10,6,0,0
672,US-IL-ORD,677,559,52,66,0,6
673,US-IL-ORD,23,19,1,3,0,2
674,US-IL-ORD,119,88,14,17,0,2
675,US-IL-ORD,96,86,6,4,0,1
676,US-IL-ORD,33,30,1,2,0,0
677,US-IL-ORD,22,21,1,0,0,0
678,US-IL-ORD,81,74,4,3,0,0
679,US-IL-ORD,18,18,0,0,0,0
680,US-IL-ORD,528,462,34,32,0,3
681,US-IL-ORD,1445,1260,55,130,0,15
683,US-IL-ORD,83,74,6,3,0,0
684,US-IL-ORD,54,50,0,4,0,1
685,US-IL-ORD,586,523,21,42,0,7
686,US-IL-ORD,52,47,3,2,0,0
687,US-IL-ORD,63,55,2,6,0,3
688,US-IL-ORD,123,107,7,9,0,0
689,US-IL-ORD,54,50,3,1,0,1
690,US-IL-ORD,16,0,13,3,0,0
691,US-IL-ORD,55,2,46,7,0,3
692,US-IL-ORD,3,3,0,0,0,0
693,US-IL-ORD,35,0,33,2,0,0
700,US-IL-ORD,374,313,23,38,0,6
701,US-IL-ORD,580,507,18,55,0,13
703,US-IL-ORD,106,89,8,9,0,1
704,US-IL-ORD,278,247,12,19,0,3
705,US-IL-ORD,375,311,35,29,0,6
706,US-IL-ORD,128,4,112,12,0,0
707,US-IL-ORD,298,236,33,29,0,9
708,US-IL-ORD,395,347,17,31,0,2
710,US-IL-ORD,78,65,7,6,0,1
711,US-IL-ORD,190,132,36,22,0,5
712,US-IL-ORD,155,132,15,8,0,0
713,US-IL-ORD,54,45,3,6,0,2
714,US-IL-ORD,56,49,4,3,0,0
716,US-IL-ORD,34,25,7,2,0,1
717,US-IL-ORD,57,48,6,3,0,0
718,US-IL-ORD,44,16,25,3,0,2
719,US-IL-ORD,118,98,12,8,0,2
720,US-IL-ORD,293,250,24,19,0,2
721,US-IL-ORD,222,197,10,15,0,4
722,US-IL-ORD,210,192,5,13,0,1
723,US-IL-ORD,46,42,1,3,0,2
724,US-IL-ORD,161,139,12,10,0,2
725,US-IL-ORD,54,49,4,1,0,1
726,US-IL-ORD,102,87,10,5,0,1
727,US-IL-ORD,1186,1039,59,88,0,18
728,US-IL-ORD,63,56,5,2,0,1
729,US-IL-ORD,184,170,5,9,0,1
730,US-IL-ORD,973,814,77,82,0,6
731,US-IL-ORD,826,625,116,85,0,11
734,US-IL-ORD,45,9,34,2,0,1
735,US-IL-ORD,160,22,125,13,0,3
736,US-IL-ORD,16,0,15,1,0,1
737,US-IL-ORD,69,0,65,4,0,1
738,US-IL-ORD,7,0,7,0,0,0
739,US-IL-ORD,5,5,0,0,0,0
740,US-IL-ORD,782,621,95,66,0,4
741,US-IL-ORD,577,487,45,45,0,6
743,US-IL-ORD,81,67,9,5,0,0
744,US-IL-ORD,144,119,21,4,0,1
745,US-IL-ORD,20,0,19,1,0,0
746,US-IL-ORD,24,0,23,1,0,1
747,US-IL-ORD,48,22,22,4,0,1
748,US-IL-ORD,122,88,29,5,0,0
749,US-IL-ORD,38,25,11,2,0,0
750,US-IL-ORD,7191,167,6405,619,0,77
751,US-IL-ORD,773,132,583,58,0,12
752,US-IL-ORD,1843,1242,408,193,0,17
754,US-IL-ORD,438,204,216,18,0,3
755,US-IL-ORD,90,56,29,5,0,1
756,US-IL-ORD,212,138,61,13,0,4
757,US-IL-ORD,289,230,38,21,0,5
758,US-IL-ORD,45,28,17,0,0,2
759,US-IL-ORD,134,114,11,9,0,2
760,US-IL-ORD,2075,47,1858,170,0,36
761,US-IL-ORD,1314,1110,93,111,0,19
762,US-IL-ORD,1248,366,804,78,0,22
763,US-IL-ORD,156,133,10,13,0,4
764,US-IL-ORD,77,65,10,2,0,2
765,US-IL-ORD,537,95,405,37,0,6
766,US-IL-ORD,102,58,34,10,0,3
767,US-IL-ORD,167,85,74,8,0,1
768,US-IL-ORD,58,46,11,1,0,1
769,US-IL-ORD,123,0,110,13,0,1
770,US-IL-ORD,4476,2977,1046,453,0,58
772,US-IL-ORD,5,3,1,1,0,0
773,US-IL-ORD,2136,13,1908,215,0,28
774,US-IL-ORD,2863,19,2599,245,0,39
775,US-IL-ORD,1340,984,235,121,0,14
776,US-IL-ORD,136,0,118,18,0,4
777,US-IL-ORD,70,1,63,6,0,4
778,US-IL-ORD,539,455,59,25,0,8
779,US-IL-ORD,88,1,83,4,0,3
780,US-IL-ORD,600,11,546,43,0,5
781,US-IL-ORD,666,3,612,51,0,16
782,US-IL-ORD,2849,4,2577,268,0,38
783,US-IL-ORD,106,0,97,9,0,2
784,US-IL-ORD,237,0,219,18,0,3
785,US-IL-ORD,816,5,741,70,0,13
786,US-IL-ORD,4196,27,3814,355,0,43
787,US-IL-ORD,5716,976,4170,570,0,60
788,US-IL-ORD,95,3,86,6,0,4
789,US-IL-ORD,43,35,8,0,0,0
790,US-IL-ORD,41,2,37,2,0,0
791,US-IL-ORD,179,3,165,11,0,3
792,US-IL-ORD,7,1,6,0,0,0
793,US-IL-ORD,56,4,52,0,0,1
794,US-IL-ORD,236,1,212,23,0,3
795,US-IL-ORD,55,48,4,3,0,0
796,US-IL-ORD,120,32,81,7,0,1
797,US-IL-ORD,207,1,182,24,0,1
798,US-IL-ORD,42,3,36,3,0,1
799,US-IL-ORD,446,1,382,63,0,9
800,US-IL-ORD,3434,11,3120,303,0,38
801,US-IL-ORD,2242,19,1986,237,0,21
802,US-IL-ORD,3838,8,3441,389,0,46
803,US-IL-ORD,725,3,650,72,0,8
804,US-IL-ORD,762,19,690,53,0,5
805,US-IL-ORD,2342,11,2131,200,0,22
806,US-IL-ORD,455,5,405,45,0,10
807,US-IL-ORD,58,5,53,0,0,3
808,US-IL-ORD,216,7,198,11,0,2
809,US-IL-ORD,1452,4,1302,146,0,22
810,US-IL-ORD,195,2,176,17,0,11
811,US-IL-ORD,97,7,90,0,0,1
812,US-IL-ORD,204,14,184,6,0,3
813,US-IL-ORD,125,0,118,7,0,1
814,US-IL-ORD,129,6,115,8,0,1
